id,file_name,original_attribute,origin_score,unmatch_attribute,unmatch_score
63325,CMIC-111k/Endoscopy/Gastroent/0214.png,Endoscopy and Gastroent,28.866933822631836,Dermoscopy and Skin,27.68402671813965
63326,CMIC-111k/Endoscopy/Gastroent/0763.png,Endoscopy and Gastroent,27.957889556884766,CT and Brain,22.658863067626953
63327,CMIC-111k/Endoscopy/Gastroent/1316.png,Endoscopy and Gastroent,29.73509979248047,Xray and Chest,21.313339233398438
63328,CMIC-111k/Endoscopy/Gastroent/0248.png,Endoscopy and Gastroent,30.521289825439453,Mamography and Breast,28.157329559326172
63329,CMIC-111k/Endoscopy/Gastroent/0449.png,Endoscopy and Gastroent,28.701587677001953,Xray and Dental,21.429889678955078
63330,CMIC-111k/Endoscopy/Gastroent/1162.png,Endoscopy and Gastroent,27.985214233398438,Fundus and Retina,26.535741806030273
63331,CMIC-111k/Endoscopy/Gastroent/0438.png,Endoscopy and Gastroent,30.443588256835938,Xray and Dental,22.336700439453125
63332,CMIC-111k/Endoscopy/Gastroent/0867.png,Endoscopy and Gastroent,27.92256736755371,CT and Chest,25.58502197265625
63333,CMIC-111k/Endoscopy/Gastroent/1055.png,Endoscopy and Gastroent,27.247386932373047,Ultrasound and Carotid,25.395809173583984
63334,CMIC-111k/Endoscopy/Gastroent/0703.png,Endoscopy and Gastroent,30.418991088867188,CT and Brain,22.89350128173828
63335,CMIC-111k/Endoscopy/Gastroent/1119.png,Endoscopy and Gastroent,26.867584228515625,CT and Chest,23.784194946289062
63336,CMIC-111k/Endoscopy/Gastroent/1451.png,Endoscopy and Gastroent,28.925905227661133,Ultrasound and Ovary,27.646411895751953
63337,CMIC-111k/Endoscopy/Gastroent/0410.png,Endoscopy and Gastroent,28.634185791015625,OCT and Retina,21.743682861328125
63338,CMIC-111k/Endoscopy/Gastroent/1305.png,Endoscopy and Gastroent,28.99011993408203,MRI and Brain,22.790740966796875
63339,CMIC-111k/Endoscopy/Gastroent/1300.png,Endoscopy and Gastroent,30.04657745361328,Mamography and Breast,26.774988174438477
63340,CMIC-111k/Endoscopy/Gastroent/0296.png,Endoscopy and Gastroent,30.96633529663086,Xray and Dental,22.435794830322266
63341,CMIC-111k/Endoscopy/Gastroent/1123.png,Endoscopy and Gastroent,27.75118064880371,Xray and Dental,20.8990478515625
63342,CMIC-111k/Endoscopy/Gastroent/0562.png,Endoscopy and Gastroent,29.63506317138672,Ultrasound and Breast,25.541732788085938
63343,CMIC-111k/Endoscopy/Gastroent/1009.png,Endoscopy and Gastroent,29.137495040893555,MRI and Brain,20.682748794555664
63344,CMIC-111k/Endoscopy/Gastroent/0483.png,Endoscopy and Gastroent,28.56659507751465,Xray and Dental,21.441213607788086
63345,CMIC-111k/Endoscopy/Gastroent/1030.png,Endoscopy and Gastroent,29.889537811279297,Xray and Skeleton,18.55777359008789
63346,CMIC-111k/Endoscopy/Gastroent/1389.png,Endoscopy and Gastroent,30.120718002319336,Xray and Chest,25.11102294921875
63347,CMIC-111k/Endoscopy/Gastroent/0991.png,Endoscopy and Gastroent,31.1480770111084,CT and Heart,23.975555419921875
63348,CMIC-111k/Endoscopy/Gastroent/0408.png,Endoscopy and Gastroent,28.277889251708984,Fundus and Retina,23.4227294921875
63349,CMIC-111k/Endoscopy/Gastroent/0507.png,Endoscopy and Gastroent,27.184524536132812,Ultrasound and Carotid,20.800466537475586
63350,CMIC-111k/Endoscopy/Gastroent/0542.png,Endoscopy and Gastroent,28.38177490234375,Ultrasound and Carotid,20.173784255981445
63351,CMIC-111k/Endoscopy/Gastroent/0450.png,Endoscopy and Gastroent,28.840412139892578,MRI and Brain,21.656448364257812
63352,CMIC-111k/Endoscopy/Gastroent/0740.png,Endoscopy and Gastroent,29.09479522705078,Ultrasound and Breast,25.387935638427734
63353,CMIC-111k/Endoscopy/Gastroent/0603.png,Endoscopy and Gastroent,29.5518798828125,Ultrasound and Breast,23.854637145996094
63354,CMIC-111k/Endoscopy/Gastroent/1388.png,Endoscopy and Gastroent,29.387479782104492,Ultrasound and Breast,25.328393936157227
63355,CMIC-111k/Endoscopy/Gastroent/0565.png,Endoscopy and Gastroent,30.100879669189453,OCT and Retina,22.537996292114258
63356,CMIC-111k/Endoscopy/Gastroent/0166.png,Endoscopy and Gastroent,27.24325942993164,MRI and Alzheimer,21.9532527923584
63357,CMIC-111k/Endoscopy/Gastroent/1322.png,Endoscopy and Gastroent,30.966676712036133,CT and Heart,22.459178924560547
63358,CMIC-111k/Endoscopy/Gastroent/0961.png,Endoscopy and Gastroent,30.600078582763672,CT and Brain,24.172170639038086
63359,CMIC-111k/Endoscopy/Gastroent/1453.png,Endoscopy and Gastroent,29.41458511352539,CT and Chest,23.598224639892578
63360,CMIC-111k/Endoscopy/Gastroent/1414.png,Endoscopy and Gastroent,29.571584701538086,Ultrasound and Baby,22.339574813842773
63361,CMIC-111k/Endoscopy/Gastroent/1261.png,Endoscopy and Gastroent,30.014846801757812,Xray and Dental,23.848018646240234
63362,CMIC-111k/Endoscopy/Gastroent/1319.png,Endoscopy and Gastroent,28.80556869506836,Ultrasound and Brain,24.080209732055664
63363,CMIC-111k/Endoscopy/Gastroent/0831.png,Endoscopy and Gastroent,30.621726989746094,Ultrasound and Breast,22.186182022094727
63364,CMIC-111k/Endoscopy/Gastroent/1007.png,Endoscopy and Gastroent,29.734634399414062,CT and Brain,23.643329620361328
63365,CMIC-111k/Endoscopy/Gastroent/1029.png,Endoscopy and Gastroent,28.861186981201172,OCT and Retina,22.05348777770996
63366,CMIC-111k/Endoscopy/Gastroent/0484.png,Endoscopy and Gastroent,28.103771209716797,Mamography and Breast,24.9986572265625
63367,CMIC-111k/Endoscopy/Gastroent/1268.png,Endoscopy and Gastroent,29.907852172851562,Mamography and Breast,26.108135223388672
63368,CMIC-111k/Endoscopy/Gastroent/0730.png,Endoscopy and Gastroent,28.766433715820312,Ultrasound and Baby,21.47510528564453
63369,CMIC-111k/Endoscopy/Gastroent/0444.png,Endoscopy and Gastroent,31.114179611206055,CT and Brain,22.50702667236328
63370,CMIC-111k/Endoscopy/Gastroent/0306.png,Endoscopy and Gastroent,29.660518646240234,CT and Heart,25.48633575439453
63371,CMIC-111k/Endoscopy/Gastroent/1047.png,Endoscopy and Gastroent,29.06519317626953,Xray and Skeleton,18.964502334594727
63372,CMIC-111k/Endoscopy/Gastroent/0151.png,Endoscopy and Gastroent,29.002735137939453,Ultrasound and Carotid,26.093399047851562
63373,CMIC-111k/Endoscopy/Gastroent/0194.png,Endoscopy and Gastroent,29.72380256652832,Ultrasound and Baby,27.76130485534668
63374,CMIC-111k/Endoscopy/Gastroent/0049.png,Endoscopy and Gastroent,28.184146881103516,Ultrasound and Breast,24.64566421508789
63375,CMIC-111k/Endoscopy/Gastroent/0632.png,Endoscopy and Gastroent,31.22212791442871,Ultrasound and Ovary,25.7854061126709
63376,CMIC-111k/Endoscopy/Gastroent/0318.png,Endoscopy and Gastroent,29.082805633544922,Dermoscopy and Skin,30.95763397216797
63377,CMIC-111k/Endoscopy/Gastroent/0922.png,Endoscopy and Gastroent,31.424240112304688,Ultrasound and Breast,25.213247299194336
63378,CMIC-111k/Endoscopy/Gastroent/0385.png,Endoscopy and Gastroent,28.8155517578125,Xray and Skeleton,19.12350845336914
63379,CMIC-111k/Endoscopy/Gastroent/1317.png,Endoscopy and Gastroent,30.405223846435547,Ultrasound and Brain,22.370758056640625
63380,CMIC-111k/Endoscopy/Gastroent/0319.png,Endoscopy and Gastroent,28.418798446655273,Fundus and Retina,25.394451141357422
63381,CMIC-111k/Endoscopy/Gastroent/0019.png,Endoscopy and Gastroent,27.433650970458984,Xray and Skeleton,21.336374282836914
63382,CMIC-111k/Endoscopy/Gastroent/1378.png,Endoscopy and Gastroent,31.03240394592285,Xray and Chest,22.192523956298828
63383,CMIC-111k/Endoscopy/Gastroent/0611.png,Endoscopy and Gastroent,28.948795318603516,Xray and Chest,20.68968391418457
63384,CMIC-111k/Endoscopy/Gastroent/0267.png,Endoscopy and Gastroent,28.20101547241211,CT and Heart,25.012950897216797
63385,CMIC-111k/Endoscopy/Gastroent/0533.png,Endoscopy and Gastroent,29.284751892089844,Dermoscopy and Skin,32.02708435058594
63386,CMIC-111k/Endoscopy/Gastroent/0416.png,Endoscopy and Gastroent,28.840076446533203,Ultrasound and Baby,20.78611183166504
63387,CMIC-111k/Endoscopy/Gastroent/1225.png,Endoscopy and Gastroent,29.23827362060547,CT and Heart,22.1563720703125
63388,CMIC-111k/Endoscopy/Gastroent/0130.png,Endoscopy and Gastroent,24.74156951904297,Mamography and Breast,24.677515029907227
63389,CMIC-111k/Endoscopy/Gastroent/0369.png,Endoscopy and Gastroent,27.41913604736328,MRI and Brain,20.777448654174805
63390,CMIC-111k/Endoscopy/Gastroent/0095.png,Endoscopy and Gastroent,27.441415786743164,MRI and Brain,23.664264678955078
63391,CMIC-111k/Endoscopy/Gastroent/0819.png,Endoscopy and Gastroent,27.625017166137695,MRI and Brain,20.302797317504883
63392,CMIC-111k/Endoscopy/Gastroent/0388.png,Endoscopy and Gastroent,27.95120620727539,Ultrasound and Brain,21.740232467651367
63393,CMIC-111k/Endoscopy/Gastroent/0032.png,Endoscopy and Gastroent,25.564311981201172,Fundus and Retina,25.472545623779297
63394,CMIC-111k/Endoscopy/Gastroent/0707.png,Endoscopy and Gastroent,29.15459632873535,CT and Brain,22.93360710144043
63395,CMIC-111k/Endoscopy/Gastroent/0460.png,Endoscopy and Gastroent,27.363985061645508,Ultrasound and Carotid,19.808555603027344
63396,CMIC-111k/Endoscopy/Gastroent/1042.png,Endoscopy and Gastroent,29.530431747436523,CT and Chest,23.866186141967773
63397,CMIC-111k/Endoscopy/Gastroent/0169.png,Endoscopy and Gastroent,28.200111389160156,CT and Chest,26.637470245361328
63398,CMIC-111k/Endoscopy/Gastroent/1497.png,Endoscopy and Gastroent,30.662796020507812,Xray and Skeleton,19.90618133544922
63399,CMIC-111k/Endoscopy/Gastroent/0816.png,Endoscopy and Gastroent,30.923839569091797,MRI and Alzheimer,24.997802734375
